Energy_MeV,W_0.1mm,W_0.25mm,W_0.5mm,W_1.0mm
1.975,0,1,31,44
1.9769999999999999,0,1,24,31
1.979,0,2,25,40
1.9809999999999999,3,0,24,40
1.983,1,2,34,48
1.9849999999999999,0,4,26,47
1.987,0,0,24,39
1.9889999999999999,0,1,43,47
1.991,0,1,20,49
1.9929999999999999,1,1,29,43
1.995,0,1,27,44
1.9969999999999999,0,1,22,25
1.999,1,0,32,30
2.0010000000000003,0,2,25,43
2.003,0,0,26,51
2.005,0,2,16,48
2.007,0,1,34,34
2.0090000000000003,1,1,36,47
2.011,1,0,25,33
2.013,0,3,23,33
2.015,1,1,22,42
2.0170000000000003,0,0,30,35
2.019,0,0,16,38
2.021,2,1,26,38
2.023,2,2,32,41
